,itens,predito,real
0,TUBO ENDOTRAQUEAL C/BALAO 4.0 - MALLINCKRODT,1,1
1,TUBO ENDOTRAQUEAL TAPERGUARD C/BALAO 6.0 - MALLINCKRODT,1,1
2,TUBO ENDOTRAQUEAL C/BALAO 3.5 - MALLINCKRODT,1,1
4,TUBO ENDOTRAQUEAL C/BALAO 4.5 - MALLINCKRODT,1,1
6,TUBO ENDOTRAQUEAL TAPERGUARD C/BALAO 5.0 - MALLINCKRODT,1,1
7,TUBO ENDOTRAQUEAL TAPERGUARD C/BALAO 9.0 - MALLINCKRODT,1,1
8,TUBO ENDOTRAQUEAL ARAMADO C/BALAO - 7.0 - MALLINCKRODT,1,1
9,TUBO ENDOTRAQUEAL S/BALAO 3.0 - MALLINCKRODT,1,1
11,TUBO ENDOTRAQUEAL C/BALAO 3.0 - MALLINCKRODT,1,1
14,TUBO ENDOTRAQUEAL S/BALAO 2.5 - MALLINCKRODT,1,1
17,TUBO ENDOTRAQUEAL ARAMADO S/BALAO - 3.5,1,1
19,TUBO ENDOTRAQUEAL ARAMADO S/ BALAO - 3.0,1,1
0,TUBO ENDOTRAQUEAL S/BALAO 3.5 - MALLINCKRODT,1,1
